City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,belmonte,-15.8631,-38.8828,82.72400000000002,68,27,5.88,BR,2024-11-12
1,remire-montjoly,4.9167,-52.2667,80.63600000000007,89,75,1.54,GF,2024-11-12
2,grytviken,-54.2811,-36.5092,31.424000000000014,79,98,5.42,GS,2024-11-12
3,neuhaus,49.144,15.003,35.07800000000007,94,51,1.34,CZ,2024-11-12
4,udachny,66.4167,112.4,5.360000000000081,96,100,2.15,RU,2024-11-12
5,east london,-33.0153,27.9116,72.53600000000007,83,0,2.06,ZA,2024-11-12
6,invercargill,-46.4,168.35,44.024000000000015,93,12,1.98,NZ,2024-11-12
7,waitangi,-43.9535,-176.5597,51.08000000000004,71,6,4.61,NZ,2024-11-12
8,albany,42.6001,-73.9662,46.292,55,10,2.68,US,2024-11-12
9,i-n-salah,27.1935,2.4607,73.67000000000006,26,100,2.37,DZ,2024-11-12
10,atafu village,-8.5421,-172.5159,83.08399999999999,70,14,8.11,TK,2024-11-12
11,gitarama,-2.0744,29.7567,58.40600000000003,91,71,1.44,RW,2024-11-12
12,mezhdurechensk,53.6942,88.0603,14.594000000000072,90,100,4.14,RU,2024-11-12
13,lorengau,-2.0226,147.2712,81.42800000000007,73,32,2.5,PG,2024-11-12
14,kyosai,34.8503,128.5886,56.984,64,0,3.96,KR,2024-11-12
15,pokachi,61.7198,75.3683,-11.595999999999949,98,47,2.13,RU,2024-11-12
16,blackmans bay,-43.0167,147.3167,55.52600000000009,91,42,0.45,AU,2024-11-12
17,olonkinbyen,70.9221,-8.7187,35.00600000000003,93,100,11.84,SJ,2024-11-12
18,ciudad melchor muzquiz,27.8833,-101.5167,77.14400000000008,58,0,2.36,MX,2024-11-12
19,hassi messaoud,31.6804,6.0729,71.45600000000003,40,20,2.57,DZ,2024-11-12
20,adamstown,-25.066,-130.1015,70.57400000000001,73,71,3.61,PN,2024-11-12
21,salinopolis,-0.6136,-47.3561,84.88399999999999,63,100,5.18,BR,2024-11-12
22,margaret river,-33.95,115.0667,51.89000000000002,94,14,3.77,AU,2024-11-12
23,edinburgh of the seven seas,-37.0676,-12.3116,60.26000000000008,95,97,4.38,SH,2024-11-12
24,isafjordur,66.0755,-23.124,46.43600000000007,61,100,20.06,IS,2024-11-12
25,papatowai,-46.5619,169.4708,44.42000000000006,91,10,1.56,NZ,2024-11-12
26,san antonio de pale,-1.4014,5.6325,79.66400000000003,82,81,7.49,GQ,2024-11-12
27,aasiaat,68.7098,-52.8699,19.79600000000005,87,98,5.26,GL,2024-11-12
28,saudarkrokur,65.7461,-19.6394,41.25200000000008,82,90,19.32,IS,2024-11-12
29,stanley,54.868,-1.6985,43.52000000000006,88,0,1.03,GB,2024-11-12
30,nemuro,43.3236,145.575,42.49400000000007,72,100,13.05,JP,2024-11-12
31,susuman,62.7833,148.1667,-8.175999999999938,98,100,1.24,RU,2024-11-12
32,uturoa,-16.7333,-151.4333,78.08000000000004,76,100,8.83,PF,2024-11-12
33,puerto ayora,-0.7393,-90.3518,75.542,80,90,3.58,EC,2024-11-12
34,leticia,-4.2153,-69.9406,96.782,49,75,2.06,CO,2024-11-12
35,illizi,26.4833,8.4667,75.61400000000003,25,100,3.04,DZ,2024-11-12
36,sindirgi,39.2413,28.1784,52.268000000000086,71,95,1.0,TR,2024-11-12
37,yabelo,4.8833,38.0833,64.67000000000006,62,88,4.22,ET,2024-11-12
38,bredasdorp,-34.5322,20.0403,63.03200000000002,70,6,4.88,ZA,2024-11-12
39,gebeit,21.0667,36.3167,74.60600000000002,60,2,5.04,SD,2024-11-12
40,chagoda,59.164,35.3285,33.062000000000054,94,100,2.43,RU,2024-11-12
41,carnarvon,-24.8667,113.6333,71.36600000000001,77,76,8.68,AU,2024-11-12
42,port isabel,26.0734,-97.2086,84.23600000000008,65,6,2.68,US,2024-11-12
43,nerja,36.7585,-3.8873,64.94000000000003,78,14,1.21,ES,2024-11-12
44,port-aux-francais,-49.35,70.2167,38.39000000000002,81,69,11.71,TF,2024-11-12
45,tolanaro,-25.0319,46.9987,77.07200000000003,83,20,1.03,MG,2024-11-12
46,inebolu,41.9747,33.7608,55.31000000000008,86,71,3.81,TR,2024-11-12
47,lihue,21.9789,-159.3672,74.78600000000007,83,20,6.69,US,2024-11-12
48,coahuayana de hidalgo,18.7,-103.6583,87.38600000000007,59,69,1.38,MX,2024-11-12
49,la sarre,48.8002,-79.1996,30.48800000000005,68,61,3.35,CA,2024-11-12
50,avarua,-21.2078,-159.775,73.45400000000005,64,99,1.54,CK,2024-11-12
51,ribeira grande,38.5167,-28.7,66.7760000000001,94,75,2.57,PT,2024-11-12
52,salinas,36.6777,-121.6555,57.50600000000003,87,0,2.06,US,2024-11-12
53,indianola,41.3581,-93.5574,48.90200000000008,66,1,1.34,US,2024-11-12
54,tiksi,71.6872,128.8694,-6.39399999999997,100,99,1.72,RU,2024-11-12
55,longyearbyen,78.2186,15.6401,35.438000000000045,87,75,8.23,SJ,2024-11-12
56,port lincoln,-34.7333,135.8667,56.82200000000004,76,25,4.41,AU,2024-11-12
57,talnakh,69.4865,88.3972,-15.10599999999998,95,98,1.45,RU,2024-11-12
58,ushuaia,-54.8,-68.3,58.658,55,20,5.66,AR,2024-11-12
59,pocone,-16.2567,-56.6228,91.47200000000004,50,67,2.93,BR,2024-11-12
60,aleksandrovsk-sakhalinskiy,50.8975,142.1561,25.970000000000063,50,69,5.3,RU,2024-11-12
61,bethel,41.3712,-73.414,51.908,51,40,6.17,US,2024-11-12
62,vorgashor,67.5833,63.95,-14.31399999999998,100,99,1.56,RU,2024-11-12
63,kalymnos,36.95,26.9833,63.932000000000016,72,20,1.03,GR,2024-11-12
64,rawson,-43.3002,-65.1023,71.88800000000005,30,0,7.2,AR,2024-11-12
65,anadyr,64.75,177.4833,28.904000000000053,86,75,9.0,RU,2024-11-12
66,ilulissat,69.2167,-51.1,24.818000000000087,93,75,3.6,GL,2024-11-12
67,rongelap,11.1635,166.8941,82.22000000000006,77,70,5.33,MH,2024-11-12
68,west island,-12.1568,96.8225,78.78200000000001,83,40,4.12,CC,2024-11-12
69,nuku'alofa,-21.1333,-175.2,71.942,94,100,6.17,TO,2024-11-12
70,okhotsk,59.3833,143.3,4.298000000000023,71,15,8.25,RU,2024-11-12
71,bilibino,68.0546,166.4372,-12.909999999999982,100,23,2.21,RU,2024-11-12
72,svetlyy,54.675,20.1347,33.36800000000009,73,3,0.96,RU,2024-11-12
73,chonchi,-42.6128,-73.8092,58.35200000000008,64,99,1.32,CL,2024-11-12
74,skeldon,5.8833,-57.1333,86.63000000000004,58,99,2.51,GY,2024-11-12
75,thompson,55.7435,-97.8558,37.56200000000005,81,100,2.57,CA,2024-11-12
76,kish,26.5578,54.0194,80.87000000000006,74,0,3.09,IR,2024-11-12
77,cidreira,-30.1811,-50.2056,67.91000000000008,46,49,7.42,BR,2024-11-12
78,kodinsk,58.6881,99.1844,13.28000000000004,80,100,4.05,RU,2024-11-12
79,port pirie,-33.1833,138.0167,60.29600000000005,74,100,5.32,AU,2024-11-12
80,qaqortoq,60.7167,-46.0333,23.882000000000016,76,83,4.6,GL,2024-11-12
81,hithadhoo,-0.6,73.0833,83.12000000000006,77,62,7.02,MV,2024-11-12
82,jamestown,42.097,-79.2353,44.024000000000015,65,100,2.57,US,2024-11-12
83,volodarskiy,46.4013,48.5409,36.48200000000001,51,21,2.91,RU,2024-11-12
84,wolbrom,50.3796,19.7583,32.59400000000007,69,64,0.8,PL,2024-11-12
85,sinabang,2.4803,96.3801,78.94400000000007,84,91,0.79,ID,2024-11-12
86,banda aceh,5.5577,95.3222,80.52800000000006,80,89,1.88,ID,2024-11-12
87,al mishkhab,31.8042,44.4911,71.708,46,0,3.88,IQ,2024-11-12
88,hamilton,39.1834,-84.5333,51.78200000000002,68,100,4.63,US,2024-11-12
89,lebu,-37.6167,-73.65,57.43399999999999,73,47,9.3,CL,2024-11-12
90,san patricio,28.017,-97.5169,82.34600000000005,53,1,4.48,US,2024-11-12
91,ntungamo,-0.8833,29.65,65.53399999999999,95,84,1.18,UG,2024-11-12
92,minas de marcona,-15.2119,-75.1103,68.61200000000005,53,67,6.25,PE,2024-11-12
93,hilo,19.7297,-155.09,72.10400000000006,91,75,3.6,US,2024-11-12
94,puerto natales,-51.7236,-72.4875,57.65,77,75,2.06,CL,2024-11-12
95,port mathurin,-19.6833,63.4167,75.95600000000003,80,1,9.04,MU,2024-11-12
96,codrington,-38.2667,141.9667,57.938000000000045,97,80,5.59,AU,2024-11-12
97,iqaluit,63.7506,-68.5145,6.53000000000004,77,20,2.06,CA,2024-11-12
98,wailua homesteads,22.0669,-159.378,74.192,95,20,6.69,US,2024-11-12
99,ponta delgada,37.7333,-25.6667,70.52000000000007,83,40,6.69,PT,2024-11-12
100,yuzhno-kurilsk,44.0306,145.8556,40.38800000000005,75,100,12.01,RU,2024-11-12
101,lundazi,-12.2929,33.1782,76.29800000000003,33,4,1.6,ZM,2024-11-12
102,thinadhoo,0.5333,72.9333,82.61600000000001,77,97,6.89,MV,2024-11-12
103,el jem,35.3,10.7167,65.26400000000004,61,6,4.98,TN,2024-11-12
104,allen,41.0706,-85.0144,46.292,71,40,7.2,US,2024-11-12
105,iskateley,67.6803,53.1512,14.68399999999999,81,100,5.13,RU,2024-11-12
